                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2786,                 2.1512,                  1.355,                0.41338,                0.02489,                0.02565,                0.01648,                 1.3421,                 4.5451,                0.88867,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.3202,                 1.5304,                   1.33,                0.37826,                0.03274,                0.03151,                0.02014,                 1.4114,                 3.7427,                0.92049,             0.00081553,             0.00081553,             0.00081553
